Date,GDP_Growth,Agriculture_Growth,Manufacturing_Growth,Service_Growth
2011 Q2,0.1,4.4,1.1,1.9
2011 Q3,0.3,0.9,0.5,1.4
2011 Q4,0.1,-2.3,1,1.1
2012 Q1,0.9,-9.9,1.1,2.1
2012 Q2,-0.1,-4.8,0.1,1.9
2012 Q3,1,-5.7,0.9,2.8
2012 Q4,-0.1,-1.4,0.6,2.5
2013 Q1,0.3,-2.8,0.1,1.2
2013 Q2,0.7,2.1,2.2,1.8
2013 Q3,0.8,6.4,2,1
2013 Q4,0.7,7.9,0.6,1.9
2014 Q1,0.8,19.9,1.3,2.5
2014 Q2,0.9,7.7,0,3.1
2014 Q3,0.8,3.4,0.6,3.5
2014 Q4,0.7,-0.9,0.6,3.3
2015 Q1,0.3,-10.5,0,2.3
2015 Q2,0.6,-5.4,0.1,1.4
2015 Q3,0.4,-4.3,-0.3,1
2015 Q4,0.6,-0.4,0.1,1.1
2016 Q1,0.4,-7.6,-1.2,2
2016 Q2,0.6,-0.1,1,2.6
2016 Q3,0.4,1.4,-1.7,3.1
2016 Q4,0.6,0.5,-0.1,3.5
2017 Q1,0.8,5.7,0.3,3.4
2017 Q2,0.6,-1.1,0.7,3.4
2017 Q3,0.6,-1.4,1.8,2.9
2017 Q4,0.7,-1.3,3,2.3
2018 Q1,0.1,-7.1,1.5,1.6
2018 Q2,0.2,-3.9,0.2,1.2
2018 Q3,0.3,0.8,-0.2,1.2
2018 Q4,0.1,4.9,-2.4,1.4
2019 Q1,0.7,4.3,1.8,1.9
2019 Q2,0.3,5,-0.8,1.9
2019 Q3,0.7,6.3,1.6,2
2019 Q4,0,5.4,1.6,1.1
2020 Q1,-2.7,-5.1,2,-2.7
2020 Q2,-20.3,-8.5,-17.1,-22.9
2020 Q3,16.8,-0.5,25.2,-11.5
2020 Q4,1.4,3,3.4,-10
2021 Q1,-1,2.9,-2.9,-7.8
2021 Q2,7.3,-0.6,-0.4,26.5
2021 Q3,1.7,-2.2,-2.3,12.3
2021 Q4,1.5,-1.1,-1.8,12.8
2022 Q1,0.7,5.7,-2.8,14.8
2022 Q2,0.3,1.6,-1.7,5.4
2022 Q3,0.1,-0.1,-1.9,3
2022 Q4,0.3,-0.1,0.4,1.5
2023 Q1,0.1,-0.3,0.9,1
2023 Q2,0,0.1,1.7,0.6
2023 Q3,-0.1,0.4,0.1,0.2
2023 Q4,-0.3,0.2,-1.2,-0.2
2024 Q1,0.7,-0.4,0.7,0.4
2024 Q2,0.5,0.4,-0.7,1.2
2024 Q3,0.1,1.1,0.2,1.6
